label,itemid,shopid,name,price,userid,anonymous,commentTime,is_hidden,orderid,comment_rating_star,comment,product_SKU
54,7332888202,198172756,彩虹甜糯玉米1斤35元（甜度16-17度）產銷履歷 慧軒農場還有白龍王北海道水果玉米/黑寶水果玉米/黑寶糯米,35,46195069,TRUE,2021/05/30,FALSE,7.54E+13,5,買了十斤，有17支，有跟賣家說想要軟一點的，有一些有蟲應該是好事，（代表應該是沒什麼農藥吧？）不過每支的口感不太一樣，有的比較軟、有的比較硬，喜歡軟一點的～想吃會再回購^np.s 冷藏運送，但紙箱有點沒封好稍微開了,['']
55,7332888202,198172756,彩虹甜糯玉米1斤35元（甜度16-17度）產銷履歷 慧軒農場還有白龍王北海道水果玉米/黑寶水果玉米/黑寶糯米,35,49094194,TRUE,2021/08/17,FALSE,8.24E+13,5,店家服務態度非常好 雖然貨品授粉可能不太平均而有些影響外觀 但烹煮後口感是新鮮Q彈的 不在意外觀 價格算是合理 畢竟還要經過採收 果農也是很辛苦的,['']
56,7332888202,198172756,彩虹甜糯玉米1斤35元（甜度16-17度）產銷履歷 慧軒農場還有白龍王北海道水果玉米/黑寶水果玉米/黑寶糯米,35,78719157,TRUE,2021/08/02,FALSE,8.03E+13,5,玉米都滿小條的，彩虹玉米有的紅點很少幾乎整條都白的，讓我以為買3斤怎麼才4條，後來發現有5條，玉米用煮的完全沒有甜度，而且沒有煮很久,['']
57,7332888202,198172756,彩虹甜糯玉米1斤35元（甜度16-17度）產銷履歷 慧軒農場還有白龍王北海道水果玉米/黑寶水果玉米/黑寶糯米,35,160827,TRUE,2021/08/01,FALSE,8.12E+13,5,出貨速度快速、商品包裝良好、客服回覆耐心友善。^n彩虹甜糯玉米品質不錯，吃起來Q彈有勁，越嚼越香，它是白色參雜紫色的粒粒喔！,['']
58,7332888202,198172756,彩虹甜糯玉米1斤35元（甜度16-17度）產銷履歷 慧軒農場還有白龍王北海道水果玉米/黑寶水果玉米/黑寶糯米,35,23902810,TRUE,2021/06/09,FALSE,7.64E+13,5,與家人一起分享，大家最愛水果玉米，真的很甜，地瓜每種都買一些，真的吃起來有些口感上的差異，下次還會再回購，謝謝。,['']
59,7332888202,198172756,彩虹甜糯玉米1斤35元（甜度16-17度）產銷履歷 慧軒農場還有白龍王北海道水果玉米/黑寶水果玉米/黑寶糯米,35,454230062,TRUE,2022/06/03,FALSE,1.06E+14,5,寄件迅速，價格合理，品質優良。玉米非常香甜且多汁，若有機會會再度回購。,['']
60,7332888202,198172756,彩虹甜糯玉米1斤35元（甜度16-17度）產銷履歷 慧軒農場還有白龍王北海道水果玉米/黑寶水果玉米/黑寶糯米,35,46378519,TRUE,2022/05/11,FALSE,1.06E+14,5,賣家出貨真的超快的^n隔天就立馬出貨了^n第三天就收到貨了^n玉米??真的很好吃唷,['']
61,7332888202,198172756,彩虹甜糯玉米1斤35元（甜度16-17度）產銷履歷 慧軒農場還有白龍王北海道水果玉米/黑寶水果玉米/黑寶糯米,35,171404573,TRUE,2021/01/11,FALSE,6.36E+13,5,這是煮好分切成一半，不錯吃,['']
62,7332888202,198172756,彩虹甜糯玉米1斤35元（甜度16-17度）產銷履歷 慧軒農場還有白龍王北海道水果玉米/黑寶水果玉米/黑寶糯米,35,145321129,TRUE,2021/06/16,FALSE,7.72E+13,5,定了10斤有17條，收到就馬上處理下鍋煮了8條，非常新鮮好吃喔！賣家寄貨迅速，東西也很快就收到了！,['']
63,7332888202,198172756,彩虹甜糯玉米1斤35元（甜度16-17度）產銷履歷 慧軒農場還有白龍王北海道水果玉米/黑寶水果玉米/黑寶糯米,35,3041157,TRUE,2021/07/03,FALSE,7.76E+13,5,"價格經濟實惠，東西還不錯，防疫期間出貨速度還OK,下次會再回購",['']
64,7332888202,198172756,彩虹甜糯玉米1斤35元（甜度16-17度）產銷履歷 慧軒農場還有白龍王北海道水果玉米/黑寶水果玉米/黑寶糯米,35,89173751,TRUE,2021/07/03,FALSE,7.87E+13,5,出貨速度很快^n售後服務很棒^n有問題都立即了解^n會再回購噢????????????,['']
65,7332888202,198172756,彩虹甜糯玉米1斤35元（甜度16-17度）產銷履歷 慧軒農場還有白龍王北海道水果玉米/黑寶水果玉米/黑寶糯米,35,15840853,TRUE,2021/06/22,FALSE,7.78E+13,5,很快就收到了！只是都有點濕，所以需要全部擺出來晾乾，看起來還不錯！好吃的話會再回購！,['']
66,7332888202,198172756,彩虹甜糯玉米1斤35元（甜度16-17度）產銷履歷 慧軒農場還有白龍王北海道水果玉米/黑寶水果玉米/黑寶糯米,35,31992979,FALSE,2021/10/20,FALSE,8.83E+13,5,"這是我第三次買，滿懷希望的收到貨，打開箱，地瓜很不ok，我買15斤地瓜，不是3種地瓜嗎？結果寄來的全是紫地瓜，小條還算新鮮，中條很多爛掉,我就趕快削來煮，其他 蔬菜我還沒煮，不知怎樣？希 望好吃，謝謝",['']
67,7332888202,198172756,彩虹甜糯玉米1斤35元（甜度16-17度）產銷履歷 慧軒農場還有白龍王北海道水果玉米/黑寶水果玉米/黑寶糯米,35,2768929,TRUE,2022/06/10,FALSE,1.06E+14,5,商品品質完全沒有問題^n出貨速度也非常的快^n如果有需要下次也一定會在這回購,['']
68,7332888202,198172756,彩虹甜糯玉米1斤35元（甜度16-17度）產銷履歷 慧軒農場還有白龍王北海道水果玉米/黑寶水果玉米/黑寶糯米,35,89522606,TRUE,2022/02/15,FALSE,9.62E+13,5,超讚的出貨速度，超讚的cp值，超讚的商品品質，值得再次回購。,['']
